host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
5.0,43.78287,11.24431,3,1.0,1.0,0.0,20.0,2,0.0,12,42,72,338,3,1,93.0,0.03,2010.0,0,0,75.0
5.0,43.7815,11.24507,6,1.0,2.0,0.0,25.0,4,15.0,20,50,80,344,2,0,60.0,0.02,2010.0,0,0,120.0
2.0,43.77813,11.29202,6,2.0,3.0,500.0,21.0,2,22.0,4,4,4,210,347,16,96.0,3.04,2010.0,0,0,51.0
17.0,43.7745,11.25396,5,2.0,2.0,300.0,80.0,1,0.0,18,44,74,324,25,6,99.0,0.3,2010.0,0,0,200.0
7.0,43.77788,11.25108,2,1.0,1.0,0.0,35.0,1,0.0,3,23,53,216,114,14,93.0,1.01,2010.0,0,0,70.0
2.0,43.76964,11.2436,4,2.0,2.0,150.0,50.0,1,0.0,14,44,74,339,16,7,95.0,0.14,2014.0,0,0,89.0
6.0,43.76158,11.24188,2,1.0,1.0,0.0,0.0,2,0.0,4,27,57,327,494,41,97.0,4.44,2010.0,0,0,80.0
10.0,43.7745,11.25143,2,0.0,1.0,0.0,35.0,2,15.0,24,54,84,356,49,1,90.0,0.44,2010.0,0,1,65.0
10.0,43.77592,11.2519,2,1.0,1.0,0.0,35.0,2,15.0,14,44,74,346,14,1,84.0,0.13,2010.0,0,1,85.0
7.0,43.76853,11.24395,3,1.0,0.0,0.0,30.0,1,15.0,0,25,55,330,33,0,91.0,0.36,2010.0,0,0,63.0
7.0,43.76865,11.24426,4,1.0,2.0,100.0,40.0,1,10.0,5,5,5,271,24,1,85.0,0.22,2010.0,0,0,75.0
184.0,43.76917,11.26219,2,1.0,1.0,300.0,0.0,1,0.0,0,0,0,0,2,0,60.0,0.02,2012.0,0,0,113.0
184.0,43.7687,11.264,3,1.0,1.0,600.0,0.0,2,15.0,0,0,0,0,1,0,80.0,0.01,2012.0,0,0,95.0
184.0,43.76984,11.26288,2,1.0,1.0,300.0,0.0,2,0.0,0,0,0,89,7,0,97.0,0.11,2012.0,0,0,90.0
1.0,43.76443,11.24505,4,1.0,1.0,0.0,40.0,2,25.0,2,23,53,281,256,31,96.0,2.36,2009.0,0,0,125.0
4.0,43.77165,11.23816,4,1.0,1.0,0.0,40.0,2,15.0,4,28,58,333,395,54,95.0,3.93,2010.0,0,0,79.0
7.0,43.77634000000001,11.25311,2,1.0,1.0,0.0,0.0,2,15.0,6,29,52,215,81,4,94.0,0.74,2010.0,0,0,78.0
7.0,43.77751,11.25111,1,1.0,1.0,0.0,35.0,1,15.0,2,19,49,214,179,30,93.0,1.65,2010.0,0,0,44.0
7.0,43.77789,11.25346,3,1.0,1.0,0.0,0.0,2,15.0,7,32,61,328,33,12,93.0,0.32,2010.0,0,0,91.0
4.0,43.77224,11.24996,4,2.0,1.0,0.0,35.0,2,20.0,11,41,67,323,467,58,91.0,4.27,2010.0,0,0,35.0
10.0,43.77589,11.25162,1,0.0,1.0,0.0,35.0,1,20.0,29,59,89,361,4,0,75.0,0.04,2010.0,0,1,45.0
4.0,43.77336,11.23653,5,2.0,1.0,0.0,45.0,2,15.0,5,18,48,323,186,37,95.0,1.82,2010.0,0,0,73.0
4.0,43.77196,11.23862,4,1.0,1.0,0.0,40.0,2,15.0,3,3,3,147,197,40,95.0,2.05,2010.0,0,0,75.0
36.0,43.76925,11.25555,4,1.0,1.0,0.0,60.0,2,0.0,4,24,54,241,22,0,97.0,0.2,2010.0,0,0,149.0
36.0,43.76932,11.25699,6,1.0,2.0,0.0,60.0,6,0.0,7,37,67,254,8,1,93.0,0.08,2010.0,0,0,149.0
36.0,43.76911,11.25487,6,1.0,2.0,0.0,60.0,6,0.0,7,34,64,247,22,0,87.0,0.21,2010.0,0,0,139.0
22.0,43.77067,11.24896,4,1.0,1.0,250.0,60.0,2,5.0,7,37,67,337,101,8,89.0,0.97,2010.0,0,0,75.0
3.0,43.7818,11.26478,3,1.0,1.0,0.0,35.0,1,20.0,12,41,47,312,146,25,97.0,1.43,2010.0,0,0,48.0
6.0,43.77796,11.26072,4,1.0,1.0,200.0,40.0,2,10.0,1,22,44,221,68,11,96.0,0.69,2010.0,0,0,95.0
6.0,43.76625,11.24986,8,2.0,3.0,300.0,75.0,6,5.0,6,24,54,323,70,17,98.0,0.72,2010.0,0,0,185.0
22.0,43.77588,11.25453,4,1.0,1.0,250.0,50.0,2,5.0,9,36,66,337,138,17,93.0,1.36,2010.0,0,0,90.0
3.0,43.78331,11.26558,2,1.0,1.0,0.0,35.0,1,20.0,10,36,63,327,430,64,98.0,4.13,2010.0,0,0,42.0
3.0,43.77177,11.25855,2,1.0,1.0,0.0,30.0,2,25.0,4,22,43,306,139,26,97.0,1.37,2010.0,0,0,60.0
4.0,43.78296,11.26874,4,1.0,1.0,100.0,65.0,2,7.0,0,0,0,22,96,0,93.0,0.9,2010.0,0,0,62.0
3.0,43.77205,11.25898,3,1.0,1.0,0.0,35.0,2,15.0,0,0,0,0,30,0,98.0,0.3,2010.0,0,1,120.0
4.0,43.77028,11.2669,5,3.0,3.0,0.0,75.0,1,15.0,0,0,20,295,22,0,93.0,0.21,2010.0,0,0,95.0
4.0,43.76647,11.26493,7,2.0,2.0,200.0,80.0,1,15.0,0,0,0,114,130,0,97.0,1.3,2010.0,0,0,85.0
10.0,43.7755,11.25184,3,1.0,1.0,0.0,35.0,3,40.0,24,54,84,356,3,0,73.0,0.05,2010.0,0,1,99.0
4.0,43.77931,11.25835,3,1.0,1.0,150.0,50.0,2,50.0,0,0,0,154,29,13,99.0,0.28,2011.0,0,0,124.0
1.0,43.77646,11.25244,6,2.0,2.0,0.0,50.0,2,10.0,3,27,57,276,62,19,95.0,0.61,2011.0,0,0,120.0
10.0,43.77579,11.25343,2,0.0,1.0,0.0,35.0,2,15.0,22,52,82,354,20,0,89.0,0.2,2010.0,0,1,65.0
10.0,43.77632,11.25301,2,1.0,1.0,0.0,35.0,2,15.0,25,55,85,357,15,0,86.0,0.15,2010.0,0,1,85.0
3.0,43.76875,11.27801,2,1.0,1.0,0.0,0.0,1,5.0,3,33,63,338,11,2,92.0,0.22,2011.0,0,0,50.0
12.0,43.77068,11.25193,4,1.0,1.0,0.0,55.0,1,0.0,6,34,60,328,61,4,94.0,1.48,2011.0,0,0,94.0
1.0,43.77045,11.23883,4,1.0,1.0,200.0,40.0,1,8.0,10,40,70,345,31,5,87.0,0.3,2011.0,0,0,59.0
1.0,43.77306,11.24341,2,1.0,1.0,100.0,28.0,2,0.0,1,10,30,286,751,102,96.0,7.3,2011.0,0,0,72.0
3.0,43.79667,11.25287,15,7.0,7.0,0.0,35.0,2,35.0,30,60,90,365,7,0,65.0,0.07,2010.0,0,0,70.0
3.0,43.74343,11.21368,8,2.0,2.0,0.0,0.0,2,20.0,9,9,9,215,8,0,95.0,0.09,2011.0,0,1,100.0
1.0,43.77305,11.2598,4,2.0,2.0,300.0,35.0,2,22.0,1,11,22,247,401,96,99.0,4.92,2011.0,0,0,175.0
184.0,43.77591,11.26083,4,1.0,1.0,300.0,0.0,1,0.0,0,0,0,0,3,0,80.0,0.05,2012.0,0,0,105.0
184.0,43.77496,11.25969,6,1.0,2.0,300.0,0.0,1,0.0,0,16,36,53,11,2,89.0,0.23,2012.0,0,0,120.0
184.0,43.77633,11.25933,6,1.0,2.0,300.0,0.0,1,0.0,4,4,4,19,20,4,92.0,0.2,2012.0,0,0,135.0
11.0,43.77408,11.25899,6,2.0,2.0,500.0,60.0,2,20.0,0,0,6,281,5,1,92.0,0.06,2011.0,0,0,140.0
11.0,43.77506,11.25817,2,1.0,1.0,500.0,60.0,2,20.0,0,0,0,265,4,0,100.0,0.11,2011.0,0,0,146.0
10.0,43.77634000000001,11.25296,2,0.0,1.0,0.0,35.0,2,15.0,30,60,90,362,17,0,88.0,0.17,2010.0,0,1,65.0
2.0,43.76797,11.25869,10,3.0,5.0,0.0,0.0,9,4.0,3,12,34,234,174,18,95.0,2.0,2011.0,0,0,320.0
7.0,43.7625,11.24469,3,1.0,1.0,100.0,40.0,1,10.0,0,0,0,205,94,1,94.0,0.91,2010.0,0,0,69.0
2.0,43.77292,11.25792,4,1.0,1.0,200.0,35.0,2,5.0,3,23,53,293,75,13,99.0,0.73,2011.0,0,0,100.0
